sigla,discriminacao,referencia,valor,data_atualizacao
EXE,I. Poder Executivo,limite_2017,1243122.3,2022-08-18T08:12:33.652793
EXE,I. Poder Executivo,limite_2018,1287843.1,2022-08-18T08:12:33.652793
EXE,I. Poder Executivo,limite_2019,1343213.3,2022-08-18T08:12:33.652793
EXE,I. Poder Executivo,limite_2020,1391955.5,2022-08-18T08:12:33.652793
EXE,I. Poder Executivo,limite_2021,1421604.1,2022-08-18T08:12:33.652793
EXE,I. Poder Executivo,limite_2022,1608277.1,2022-08-18T08:12:33.652793
,II. Poder Legislativo,limite_2017,11553,2022-08-18T08:12:33.652793
,II. Poder Legislativo,limite_2018,11896.3,2022-08-18T08:12:33.652793
,II. Poder Legislativo,limite_2019,12418.6,2022-08-18T08:12:33.652793
,II. Poder Legislativo,limite_2020,12569.7,2022-08-18T08:12:33.652793
,II. Poder Legislativo,limite_2021,12837.5,2022-08-18T08:12:33.652793
,II. Poder Legislativo,limite_2022,14510.3,2022-08-18T08:12:33.652793
CD,Câmara dos Deputados,limite_2017,5617.6,2022-08-18T08:12:33.652793
CD,Câmara dos Deputados,limite_2018,5775.9,2022-08-18T08:12:33.652793
CD,Câmara dos Deputados,limite_2019,6039.9,2022-08-18T08:12:33.652793
CD,Câmara dos Deputados,limite_2020,6037.5,2022-08-18T08:12:33.652793
CD,Câmara dos Deputados,limite_2021,6166.1,2022-08-18T08:12:33.652793
CD,Câmara dos Deputados,limite_2022,6969.6,2022-08-18T08:12:33.652793
SF,Senado Federal,limite_2017,4022.7,2022-08-18T08:12:33.652793
SF,Senado Federal,limite_2018,4156.5,2022-08-18T08:12:33.652793
SF,Senado Federal,limite_2019,4328.6,2022-08-18T08:12:33.652793
SF,Senado Federal,limite_2020,4444.1,2022-08-18T08:12:33.652793
SF,Senado Federal,limite_2021,4538.8,2022-08-18T08:12:33.652793
SF,Senado Federal,limite_2022,5130.2,2022-08-18T08:12:33.652793
TCU,Tribunal de Contas da União,limite_2017,1912.7,2022-08-18T08:12:33.652793
TCU,Tribunal de Contas da União,limite_2018,1963.9,2022-08-18T08:12:33.652793
TCU,Tribunal de Contas da União,limite_2019,2050.1,2022-08-18T08:12:33.652793
TCU,Tribunal de Contas da União,limite_2020,2088.1,2022-08-18T08:12:33.652793
TCU,Tribunal de Contas da União,limite_2021,2132.6,2022-08-18T08:12:33.652793
TCU,Tribunal de Contas da União,limite_2022,2410.5,2022-08-18T08:12:33.652793
,III. Poder Judiciário,limite_2017,40471.2,2022-08-18T08:12:33.652793
,III. Poder Judiciário,limite_2018,41520,2022-08-18T08:12:33.652793
,III. Poder Judiciário,limite_2019,44446.6,2022-08-18T08:12:33.652793
,III. Poder Judiciário,limite_2020,43267.2,2022-08-18T08:12:33.652793
,III. Poder Judiciário,limite_2021,44188.8,2022-08-18T08:12:33.652793
,III. Poder Judiciário,limite_2022,49947.2,2022-08-18T08:12:33.652793
STF,Supremo Tribunal Federal,limite_2017,644.5,2022-08-18T08:12:33.652793
STF,Supremo Tribunal Federal,limite_2018,663.9,2022-08-18T08:12:33.652793
STF,Supremo Tribunal Federal,limite_2019,700.8,2022-08-18T08:12:33.652793
STF,Supremo Tribunal Federal,limite_2020,645.7,2022-08-18T08:12:33.652793
STF,Supremo Tribunal Federal,limite_2021,659.5,2022-08-18T08:12:33.652793
STF,Supremo Tribunal Federal,limite_2022,745.4,2022-08-18T08:12:33.652793
STJ,Superior Tribunal de Justiça,limite_2017,1312.2,2022-08-18T08:12:33.652793
STJ,Superior Tribunal de Justiça,limite_2018,1404.3,2022-08-18T08:12:33.652793
STJ,Superior Tribunal de Justiça,limite_2019,1493.9,2022-08-18T08:12:33.652793
STJ,Superior Tribunal de Justiça,limite_2020,1517.8,2022-08-18T08:12:33.652793
STJ,Superior Tribunal de Justiça,limite_2021,1535.1,2022-08-18T08:12:33.652793
STJ,Superior Tribunal de Justiça,limite_2022,1752.1,2022-08-18T08:12:33.652793
JF,Justiça Federal,limite_2017,10414.6,2022-08-18T08:12:33.652793
JF,Justiça Federal,limite_2018,10575.4,2022-08-18T08:12:33.652793
JF,Justiça Federal,limite_2019,11369.3,2022-08-18T08:12:33.652793
JF,Justiça Federal,limite_2020,11197.3,2022-08-18T08:12:33.652793
JF,Justiça Federal,limite_2021,11425,2022-08-18T08:12:33.652793
JF,Justiça Federal,limite_2022,12926.1,2022-08-18T08:12:33.652793
JM,Justiça Militar da União,limite_2017,497.8,2022-08-18T08:12:33.652793
JM,Justiça Militar da União,limite_2018,522.7,2022-08-18T08:12:33.652793
JM,Justiça Militar da União,limite_2019,542.5,2022-08-18T08:12:33.652793
JM,Justiça Militar da União,limite_2020,545.6,2022-08-18T08:12:33.652793
JM,Justiça Militar da União,limite_2021,557.2,2022-08-18T08:12:33.652793
JM,Justiça Militar da União,limite_2022,629.8,2022-08-18T08:12:33.652793
JE,Justiça Eleitoral,limite_2017,6702.9,2022-08-18T08:12:33.652793
JE,Justiça Eleitoral,limite_2018,6937.4,2022-08-18T08:12:33.652793
JE,Justiça Eleitoral,limite_2019,7485.7,2022-08-18T08:12:33.652793
JE,Justiça Eleitoral,limite_2020,7378.5,2022-08-18T08:12:33.652793
JE,Justiça Eleitoral,limite_2021,7525.2,2022-08-18T08:12:33.652793
JE,Justiça Eleitoral,limite_2022,8517.6,2022-08-18T08:12:33.652793
JT,Justiça do Trabalho,limite_2017,18248.4,2022-08-18T08:12:33.652793
JT,Justiça do Trabalho,limite_2018,18715.6,2022-08-18T08:12:33.652793
JT,Justiça do Trabalho,limite_2019,19963.3,2022-08-18T08:12:33.652793
JT,Justiça do Trabalho,limite_2020,19088.4,2022-08-18T08:12:33.652793
JT,Justiça do Trabalho,limite_2021,19465,2022-08-18T08:12:33.652793
JT,Justiça do Trabalho,limite_2022,22035.5,2022-08-18T08:12:33.652793
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2017,2435.5,2022-08-18T08:12:33.652793
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2018,2478.2,2022-08-18T08:12:33.652793
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2019,2669.1,2022-08-18T08:12:33.652793
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2020,2696.7,2022-08-18T08:12:33.652793
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2021,2754.1,2022-08-18T08:12:33.652793
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2022,3113,2022-08-18T08:12:33.652793
CNJ,Conselho Nacional de Justiça,limite_2017,215.4,2022-08-18T08:12:33.652793
CNJ,Conselho Nacional de Justiça,limite_2018,212.6,2022-08-18T08:12:33.652793
CNJ,Conselho Nacional de Justiça,limite_2019,221.9,2022-08-18T08:12:33.652793
CNJ,Conselho Nacional de Justiça,limite_2020,197.2,2022-08-18T08:12:33.652793
CNJ,Conselho Nacional de Justiça,limite_2021,267.7,2022-08-18T08:12:33.652793
CNJ,Conselho Nacional de Justiça,limite_2022,227.7,2022-08-18T08:12:33.652793
DPU,IV. Defensoria Pública da União,limite_2017,563.2,2022-08-18T08:12:33.652793
DPU,IV. Defensoria Pública da União,limite_2018,551.7,2022-08-18T08:12:33.652793
DPU,IV. Defensoria Pública da União,limite_2019,576,2022-08-18T08:12:33.652793
DPU,IV. Defensoria Pública da União,limite_2020,547.8,2022-08-18T08:12:33.652793
DPU,IV. Defensoria Pública da União,limite_2021,559.4,2022-08-18T08:12:33.652793
DPU,IV. Defensoria Pública da União,limite_2022,632.3,2022-08-18T08:12:33.652793
,V. Ministério Público da União,limite_2017,6059.3,2022-08-18T08:12:33.652793
,V. Ministério Público da União,limite_2018,6069.5,2022-08-18T08:12:33.652793
,V. Ministério Público da União,limite_2019,6519.3,2022-08-18T08:12:33.652793
,V. Ministério Público da União,limite_2020,6605.9,2022-08-18T08:12:33.652793
,V. Ministério Público da União,limite_2021,6746.6,2022-08-18T08:12:33.652793
,V. Ministério Público da União,limite_2022,7625.8,2022-08-18T08:12:33.652793
MPU,Ministério Público da União,limite_2017,5974.2,2022-08-18T08:12:33.652793
MPU,Ministério Público da União,limite_2018,5981.9,2022-08-18T08:12:33.652793
MPU,Ministério Público da União,limite_2019,6427.9,2022-08-18T08:12:33.652793
MPU,Ministério Público da União,limite_2020,6522.1,2022-08-18T08:12:33.652793
MPU,Ministério Público da União,limite_2021,6661,2022-08-18T08:12:33.652793
MPU,Ministério Público da União,limite_2022,7529.1,2022-08-18T08:12:33.652793
CNMP,Conselho Nacional do Ministério Público,limite_2017,85,2022-08-18T08:12:33.652793
CNMP,Conselho Nacional do Ministério Público,limite_2018,87.6,2022-08-18T08:12:33.652793
CNMP,Conselho Nacional do Ministério Público,limite_2019,91.4,2022-08-18T08:12:33.652793
CNMP,Conselho Nacional do Ministério Público,limite_2020,83.8,2022-08-18T08:12:33.652793
CNMP,Conselho Nacional do Ministério Público,limite_2021,85.6,2022-08-18T08:12:33.652793
CNMP,Conselho Nacional do Ministério Público,limite_2022,96.7,2022-08-18T08:12:33.652793
,VI. TOTAL,limite_2017,1301768.9,2022-08-18T08:12:33.652793
,VI. TOTAL,limite_2018,1347880.7,2022-08-18T08:12:33.652793
,VI. TOTAL,limite_2019,1407173.7,2022-08-18T08:12:33.652793
,VI. TOTAL,limite_2020,1454946.1,2022-08-18T08:12:33.652793
,VI. TOTAL,limite_2021,1485936.4,2022-08-18T08:12:33.652793
,VI. TOTAL,limite_2022,1680992.8,2022-08-18T08:12:33.652793
